SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating
SESSION00058,Undergraduate,Biology,25/6/2024,9.56,4,Coding,3,Assignment Completed,TRUE,4.9
SESSION00059,High School,Business,31/1/2025,31.58,9,Studying,4,Idea Drafted,TRUE,4.6
SESSION00060,Graduate,Psychology,9/11/2024,2.38,1,Studying,5,Assignment Completed,FALSE,4.5
SESSION00061,Undergraduate,Computer Science,30/6/2024,17.72,6,Homework Help,2,Assignment Completed,TRUE,3.1
SESSION00062,Undergraduate,Math,9/3/2025,14.78,7,Coding,3,Assignment Completed,FALSE,2.5
SESSION00063,Undergraduate,Computer Science,21/6/2025,10.6,2,Coding,2,Assignment Completed,TRUE,1.7
SESSION00064,Undergraduate,Business,15/11/2024,5.47,1,Homework Help,4,Assignment Completed,TRUE,3.9
SESSION00065,High School,Psychology,2/3/2025,12.2,2,Brainstorming,4,Idea Drafted,TRUE,4.4
SESSION00066,Undergraduate,Biology,2/11/2024,8.89,3,Coding,3,Assignment Completed,TRUE,2.7
SESSION00067,Undergraduate,Computer Science,2/12/2024,6.84,1,Studying,3,Idea Drafted,TRUE,2.5
SESSION00068,Undergraduate,Business,11/4/2025,12.79,2,Coding,3,Assignment Completed,TRUE,3.8
SESSION00069,Undergraduate,History,15/5/2025,41.2,12,Studying,3,Idea Drafted,TRUE,3.1
SESSION00070,Graduate,Computer Science,26/6/2024,16.56,6,Homework Help,2,Assignment Completed,TRUE,3
SESSION00071,Undergraduate,Engineering,24/10/2024,10.4,3,Studying,4,Idea Drafted,TRUE,5
SESSION00072,Undergraduate,Business,24/5/2025,11.04,5,Coding,3,Confused,FALSE,2.3
SESSION00073,Undergraduate,Math,20/12/2024,5.3,1,Coding,3,Assignment Completed,TRUE,2.3
SESSION00074,High School,Engineering,27/7/2024,14.02,4,Studying,4,Confused,FALSE,4.4
SESSION00075,High School,Psychology,15/8/2024,49.67,10,Writing,5,Assignment Completed,FALSE,5
SESSION00076,Graduate,Biology,17/5/2025,13.4,3,Studying,4,Assignment Completed,TRUE,5
SESSION00077,Undergraduate,Engineering,31/7/2024,26.8,8,Writing,3,Idea Drafted,TRUE,2.5
SESSION00078,Undergraduate,History,9/2/2025,7.29,1,Coding,5,Assignment Completed,TRUE,5
SESSION00079,Graduate,Business,12/1/2025,48.37,20,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00080,Undergraduate,History,28/1/2025,37.05,13,Coding,2,Idea Drafted,TRUE,1.8
SESSION00081,Undergraduate,History,17/4/2025,15.94,6,Homework Help,3,Assignment Completed,FALSE,4.3
SESSION00082,Undergraduate,Computer Science,8/8/2024,16.4,4,Studying,4,Assignment Completed,TRUE,4.2
SESSION00083,Undergraduate,Math,9/2/2025,19.56,7,Brainstorming,5,Confused,FALSE,5
SESSION00084,Graduate,Business,15/8/2024,11.48,2,Homework Help,3,Idea Drafted,TRUE,2.5
SESSION00085,Undergraduate,Business,24/12/2024,16.28,3,Writing,2,Idea Drafted,FALSE,1.5
SESSION00086,High School,Math,1/1/2025,7.34,2,Writing,2,Confused,FALSE,2.6
SESSION00087,Graduate,Business,24/1/2025,16.32,3,Coding,5,Assignment Completed,TRUE,4.2
SESSION00088,High School,Business,24/1/2025,14.88,5,Homework Help,3,Assignment Completed,TRUE,4.1
SESSION00089,Undergraduate,History,1/4/2025,14.59,4,Homework Help,3,Assignment Completed,TRUE,3.5
SESSION00090,Undergraduate,Business,15/4/2025,4.65,1,Studying,4,Confused,FALSE,3.1
SESSION00091,Undergraduate,Computer Science,3/11/2024,24.83,8,Writing,3,Assignment Completed,TRUE,3.4
SESSION00092,Undergraduate,Biology,9/8/2024,10.39,2,Writing,5,Assignment Completed,FALSE,5
SESSION00093,Undergraduate,Math,21/2/2025,35.49,16,Homework Help,5,Confused,TRUE,5
SESSION00094,Graduate,History,4/5/2025,12.9,3,Homework Help,2,Confused,TRUE,1
SESSION00095,High School,Business,6/7/2024,9.77,2,Homework Help,2,Assignment Completed,TRUE,2
SESSION00096,Graduate,Biology,25/4/2025,11.12,4,Writing,4,Gave Up,FALSE,3.9
SESSION00097,High School,History,14/5/2025,30.82,14,Homework Help,4,Assignment Completed,TRUE,2.3
SESSION00098,Undergraduate,Engineering,26/2/2025,27.26,7,Homework Help,3,Gave Up,TRUE,2.8
SESSION00099,Undergraduate,Math,25/10/2024,11.17,3,Studying,4,Idea Drafted,TRUE,2.7
SESSION00100,Graduate,Psychology,27/9/2024,4.68,1,Studying,3,Confused,FALSE,2.8
SESSION00101,Graduate,Biology,23/10/2024,24.33,5,Homework Help,4,Assignment Completed,TRUE,3.5
SESSION00102,Undergraduate,Engineering,18/1/2025,16.16,4,Studying,4,Assignment Completed,TRUE,1.9
SESSION00103,Undergraduate,Business,9/5/2025,8.75,3,Homework Help,3,Idea Drafted,TRUE,1
SESSION00104,Undergraduate,Psychology,6/12/2024,14.9,3,Writing,3,Idea Drafted,FALSE,1.6
SESSION00105,Undergraduate,Biology,15/10/2024,14.8,5,Coding,3,Assignment Completed,TRUE,3
SESSION00106,Undergraduate,Business,9/7/2024,7.82,2,Studying,4,Idea Drafted,TRUE,3.7
SESSION00107,Undergraduate,Psychology,23/5/2025,39.45,8,Studying,4,Idea Drafted,TRUE,3.2
SESSION00108,High School,Business,4/8/2024,16.63,4,Studying,1,Confused,FALSE,1.5
SESSION00109,Graduate,Math,15/7/2024,41.83,16,Studying,2,Idea Drafted,FALSE,1.9
SESSION00110,Graduate,Engineering,23/6/2025,15.97,6,Writing,3,Assignment Completed,TRUE,3.5
SESSION00111,Graduate,Computer Science,18/10/2024,39.43,16,Research,4,Gave Up,FALSE,5
SESSION00112,Undergraduate,Biology,9/3/2025,28.36,7,Writing,4,Assignment Completed,TRUE,3.9
SESSION00113,Undergraduate,Biology,16/8/2024,10.94,5,Coding,5,Idea Drafted,TRUE,3.6
SESSION00114,Undergraduate,Psychology,21/3/2025,25.5,6,Homework Help,3,Assignment Completed,TRUE,3.6
SESSION00115,High School,Math,2/10/2024,23.19,9,Homework Help,4,Assignment Completed,FALSE,2.9
SESSION00116,High School,Business,6/5/2025,13.61,3,Writing,3,Idea Drafted,TRUE,3.6
SESSION00117,Graduate,Psychology,18/11/2024,18.01,4,Writing,3,Idea Drafted,TRUE,3.1
SESSION00118,Undergraduate,Biology,22/8/2024,22.8,4,Writing,4,Confused,FALSE,3.7
SESSION00119,Undergraduate,Computer Science,11/10/2024,15.91,5,Research,4,Idea Drafted,FALSE,3.1
SESSION00120,Undergraduate,Math,3/11/2024,20.93,9,Studying,5,Assignment Completed,TRUE,5
SESSION00121,Undergraduate,History,20/5/2025,33.88,7,Writing,5,Idea Drafted,TRUE,4.3
SESSION00122,High School,Biology,1/12/2024,7.12,3,Brainstorming,3,Assignment Completed,FALSE,2.4
SESSION00123,Undergraduate,Engineering,22/7/2024,19.37,4,Studying,2,Gave Up,FALSE,2.7
SESSION00124,Undergraduate,Math,16/1/2025,16.79,4,Brainstorming,5,Confused,FALSE,4.4
SESSION00125,Graduate,Biology,12/11/2024,13.61,3,Brainstorming,5,Assignment Completed,TRUE,3.6
SESSION00126,Undergraduate,Math,23/7/2024,19.28,5,Writing,3,Assignment Completed,FALSE,2.5
SESSION00127,Graduate,Biology,3/1/2025,16.64,4,Studying,3,Gave Up,TRUE,2.5
SESSION00128,Undergraduate,Psychology,21/10/2024,18.61,4,Writing,5,Assignment Completed,TRUE,4.4
SESSION00129,High School,Computer Science,6/4/2025,14.37,4,Research,5,Assignment Completed,FALSE,4.7
SESSION00130,Undergraduate,Psychology,18/10/2024,3.6,1,Writing,4,Assignment Completed,TRUE,4.9
SESSION00131,Undergraduate,History,29/11/2024,37.72,7,Writing,3,Assignment Completed,TRUE,2.9
SESSION00132,Undergraduate,Math,2/7/2024,8.05,2,Coding,5,Assignment Completed,TRUE,4.5
SESSION00133,Undergraduate,Psychology,4/7/2024,20.21,5,Studying,3,Idea Drafted,FALSE,2.6
SESSION00134,Graduate,Psychology,12/10/2024,14.06,3,Homework Help,5,Gave Up,FALSE,5
SESSION00135,Undergraduate,Computer Science,29/10/2024,15.82,4,Writing,4,Idea Drafted,TRUE,3.6
SESSION00136,High School,Computer Science,3/9/2024,6.97,2,Studying,4,Gave Up,FALSE,4.2
SESSION00137,Undergraduate,Business,27/3/2025,2.54,1,Coding,5,Idea Drafted,TRUE,5
SESSION00138,Graduate,Psychology,30/7/2024,10.73,4,Writing,4,Idea Drafted,FALSE,5
SESSION00139,Undergraduate,Business,27/5/2025,18.37,4,Coding,5,Assignment Completed,TRUE,5
SESSION00140,Graduate,Math,16/8/2024,8.62,2,Coding,3,Assignment Completed,TRUE,2.1
SESSION00141,Undergraduate,Computer Science,20/6/2025,23.52,11,Writing,3,Assignment Completed,TRUE,2.3
SESSION00142,Undergraduate,History,13/1/2025,20.13,5,Research,5,Idea Drafted,FALSE,5
SESSION00143,Graduate,History,13/2/2025,15.46,4,Studying,5,Confused,FALSE,5
SESSION00144,Undergraduate,History,11/2/2025,14.86,6,Brainstorming,3,Assignment Completed,TRUE,2.7
SESSION00145,Graduate,Computer Science,20/5/2025,18.14,6,Coding,3,Assignment Completed,TRUE,2.3
SESSION00146,High School,Business,1/8/2024,16.64,7,Brainstorming,5,Assignment Completed,TRUE,5
SESSION00147,Undergraduate,Math,11/11/2024,31.16,6,Writing,3,Idea Drafted,TRUE,2.8
SESSION00148,Undergraduate,Engineering,7/8/2024,11.21,3,Studying,3,Idea Drafted,TRUE,1.6
SESSION00149,Undergraduate,Psychology,30/7/2024,10.41,2,Writing,4,Assignment Completed,TRUE,2.8
SESSION00150,Undergraduate,Math,4/10/2024,26.97,6,Homework Help,4,Confused,FALSE,3.7
SESSION00151,High School,Computer Science,18/4/2025,22.46,10,Studying,3,Confused,TRUE,2.6
SESSION00152,Graduate,Psychology,31/10/2024,7.53,2,Studying,4,Assignment Completed,TRUE,3.2
SESSION00153,Graduate,Biology,25/10/2024,14.95,3,Coding,4,Idea Drafted,TRUE,2.2
SESSION00154,Undergraduate,Engineering,4/6/2025,15.7,5,Homework Help,5,Assignment Completed,TRUE,3.3
SESSION00155,Graduate,Computer Science,11/8/2024,25.73,8,Homework Help,4,Assignment Completed,TRUE,3.7
SESSION00156,Undergraduate,Business,2/9/2024,7.61,3,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00157,Undergraduate,Business,2/2/2025,20.22,6,Homework Help,2,Assignment Completed,TRUE,1
SESSION00158,Undergraduate,Business,14/9/2024,14.04,3,Coding,4,Idea Drafted,TRUE,4.2
SESSION00159,Graduate,Computer Science,5/2/2025,12.47,4,Homework Help,2,Assignment Completed,TRUE,3.8
SESSION00160,Undergraduate,Engineering,30/4/2025,6.51,1,Coding,4,Assignment Completed,TRUE,4
SESSION00161,Undergraduate,Business,24/7/2024,11.77,4,Coding,3,Assignment Completed,TRUE,2.9
SESSION00162,Undergraduate,History,21/9/2024,13.1,2,Writing,3,Assignment Completed,TRUE,1.3
SESSION00163,Graduate,Psychology,13/7/2024,3.22,1,Homework Help,5,Assignment Completed,TRUE,4.8
SESSION00164,High School,Engineering,9/10/2024,11.77,2,Writing,5,Assignment Completed,FALSE,4.4
SESSION00165,High School,Computer Science,22/10/2024,8.04,1,Writing,3,Assignment Completed,FALSE,3.3
SESSION00166,High School,Business,16/5/2025,8.32,1,Studying,2,Idea Drafted,FALSE,1
SESSION00167,High School,Computer Science,15/4/2025,11.18,3,Homework Help,3,Confused,TRUE,3.2
SESSION00168,Undergraduate,Math,23/1/2025,40.08,9,Coding,4,Assignment Completed,TRUE,4.1
SESSION00169,Undergraduate,Engineering,13/4/2025,8.02,2,Coding,4,Assignment Completed,TRUE,4.7
SESSION00170,Undergraduate,Computer Science,20/1/2025,6.85,1,Writing,4,Confused,FALSE,4.7
SESSION00171,Undergraduate,Business,13/6/2025,24.99,5,Studying,4,Idea Drafted,TRUE,3.3
SESSION00172,Undergraduate,Engineering,23/5/2025,1.2,1,Studying,4,Assignment Completed,FALSE,3.9
SESSION00173,Undergraduate,Engineering,24/7/2024,21.11,8,Homework Help,3,Assignment Completed,TRUE,3.3
SESSION00174,High School,Math,5/5/2025,13.04,3,Writing,2,Confused,FALSE,1
SESSION00175,Undergraduate,Engineering,27/3/2025,20.31,7,Studying,4,Idea Drafted,TRUE,4
SESSION00176,Undergraduate,Psychology,23/1/2025,16.66,3,Writing,3,Assignment Completed,TRUE,3.1
SESSION00177,Undergraduate,Business,22/6/2025,13.47,2,Writing,4,Assignment Completed,TRUE,3.8
SESSION00178,Undergraduate,Biology,3/2/2025,9.27,2,Writing,4,Assignment Completed,TRUE,5
SESSION00179,Undergraduate,Engineering,27/5/2025,11.43,2,Writing,3,Assignment Completed,TRUE,3.3
SESSION00180,Graduate,Psychology,19/3/2025,19.55,8,Coding,3,Confused,FALSE,1.2
SESSION00181,Undergraduate,Computer Science,22/1/2025,8.34,2,Writing,3,Assignment Completed,TRUE,4.9
SESSION00182,Undergraduate,Computer Science,17/10/2024,3.55,1,Studying,3,Idea Drafted,TRUE,2.3
SESSION00183,Undergraduate,Psychology,10/6/2025,9.93,3,Coding,5,Assignment Completed,TRUE,5
SESSION00184,High School,Business,24/1/2025,3.64,1,Writing,5,Idea Drafted,TRUE,4.4
SESSION00185,Undergraduate,Business,6/3/2025,38.8,8,Writing,3,Idea Drafted,TRUE,3.4
SESSION00186,High School,Psychology,17/10/2024,8.9,2,Studying,5,Confused,FALSE,4.7
SESSION00187,Undergraduate,Business,2/8/2024,20.62,4,Writing,2,Assignment Completed,TRUE,2.1
SESSION00188,Graduate,Biology,6/6/2025,27.27,6,Coding,5,Assignment Completed,TRUE,4.5
SESSION00189,Undergraduate,Biology,27/11/2024,39.67,19,Coding,4,Assignment Completed,FALSE,3.9
SESSION00190,High School,Math,12/4/2025,9.45,3,Homework Help,4,Assignment Completed,TRUE,3.5
SESSION00191,Undergraduate,Computer Science,20/6/2025,13.43,2,Writing,3,Gave Up,TRUE,3.9
SESSION00192,Undergraduate,Computer Science,9/7/2024,11.71,3,Homework Help,3,Confused,TRUE,2.9
SESSION00193,Graduate,Computer Science,23/10/2024,16.22,5,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00194,Undergraduate,Biology,15/6/2025,19.03,4,Studying,3,Gave Up,FALSE,3.6
SESSION00195,Undergraduate,Computer Science,30/5/2025,10.37,4,Studying,4,Confused,FALSE,4.3
SESSION00196,Undergraduate,Business,4/12/2024,37.05,14,Studying,5,Idea Drafted,TRUE,5
SESSION00197,Undergraduate,Business,30/7/2024,26.61,5,Brainstorming,4,Assignment Completed,FALSE,3.3
SESSION00198,Undergraduate,Computer Science,6/3/2025,72.82,25,Homework Help,2,Gave Up,FALSE,2
SESSION00199,Graduate,Computer Science,31/10/2024,24.43,5,Homework Help,5,Assignment Completed,FALSE,5
SESSION00200,Undergraduate,Business,6/10/2024,15.52,4,Studying,2,Confused,FALSE,2.8
SESSION00201,Graduate,Business,7/4/2025,1.68,1,Homework Help,3,Confused,TRUE,1.7
SESSION00202,Graduate,Computer Science,14/7/2024,13.99,2,Homework Help,3,Confused,FALSE,4.3
SESSION00203,Undergraduate,History,16/8/2024,23.58,6,Coding,4,Idea Drafted,FALSE,3.9
SESSION00204,High School,Biology,20/7/2024,19.3,6,Studying,4,Assignment Completed,TRUE,2.5
SESSION00205,High School,Biology,30/7/2024,31.13,6,Homework Help,4,Assignment Completed,TRUE,2.5
SESSION00206,Graduate,Psychology,7/2/2025,14.96,4,Studying,2,Idea Drafted,TRUE,1.8
SESSION00207,Undergraduate,Business,25/6/2024,47.16,17,Studying,4,Assignment Completed,TRUE,3.3
SESSION00208,Undergraduate,Biology,4/8/2024,4.48,1,Homework Help,3,Assignment Completed,TRUE,3.2
SESSION00209,Undergraduate,Engineering,5/6/2025,39.95,9,Homework Help,4,Gave Up,FALSE,3.9
SESSION00210,Undergraduate,History,26/12/2024,48.04,10,Coding,5,Confused,FALSE,3.9
SESSION00211,Undergraduate,Math,10/7/2024,7.55,3,Writing,4,Gave Up,FALSE,5
SESSION00212,High School,Engineering,23/12/2024,20.2,5,Studying,3,Assignment Completed,FALSE,4
SESSION00213,Undergraduate,Psychology,4/5/2025,20.35,7,Coding,4,Assignment Completed,FALSE,5
SESSION00214,Undergraduate,Computer Science,11/11/2024,84.15,31,Homework Help,5,Confused,FALSE,5
SESSION00215,Undergraduate,Business,28/11/2024,10.54,4,Writing,5,Idea Drafted,TRUE,5
SESSION00216,High School,History,20/1/2025,5.76,1,Homework Help,5,Assignment Completed,TRUE,5
SESSION00217,Undergraduate,Engineering,4/8/2024,10.93,3,Research,1,Confused,FALSE,2
SESSION00218,Undergraduate,Biology,4/10/2024,11.12,2,Homework Help,3,Assignment Completed,TRUE,2.5
SESSION00219,Undergraduate,Psychology,24/8/2024,43.1,12,Studying,3,Idea Drafted,TRUE,3
SESSION00220,Graduate,Math,8/2/2025,5.18,1,Studying,4,Assignment Completed,TRUE,4.9
SESSION00221,Graduate,Business,23/6/2025,23.58,6,Writing,3,Idea Drafted,TRUE,3.2
SESSION00222,Undergraduate,Engineering,27/1/2025,30.16,11,Homework Help,2,Assignment Completed,TRUE,2.4
SESSION00223,Undergraduate,Biology,6/6/2025,17.16,5,Coding,3,Assignment Completed,TRUE,2.4
SESSION00224,High School,History,28/4/2025,24.37,6,Writing,3,Assignment Completed,TRUE,4.4
SESSION00225,Graduate,Engineering,28/9/2024,15.24,5,Studying,4,Assignment Completed,FALSE,4.3
SESSION00226,Graduate,Biology,25/7/2024,44.81,11,Writing,5,Assignment Completed,TRUE,4.9
SESSION00227,High School,History,31/10/2024,18.58,8,Research,5,Confused,FALSE,3.8
SESSION00228,Graduate,Math,28/8/2024,11.51,3,Homework Help,5,Assignment Completed,TRUE,5
SESSION00229,Graduate,Business,3/9/2024,62.93,17,Writing,2,Assignment Completed,FALSE,1.9
SESSION00230,Undergraduate,Computer Science,2/3/2025,33.3,7,Coding,3,Confused,FALSE,2.3
SESSION00231,Graduate,Psychology,15/6/2025,18.47,8,Studying,4,Idea Drafted,FALSE,3.7
SESSION00232,Undergraduate,Psychology,30/1/2025,46.97,20,Homework Help,3,Assignment Completed,TRUE,1
SESSION00233,Undergraduate,Business,23/3/2025,16.77,4,Writing,2,Assignment Completed,TRUE,1.5
SESSION00234,High School,History,26/5/2025,15.87,3,Coding,4,Assignment Completed,TRUE,3.3
SESSION00235,Undergraduate,Psychology,3/8/2024,15.21,7,Writing,2,Assignment Completed,TRUE,1.1
SESSION00236,Undergraduate,Computer Science,23/2/2025,33.03,10,Writing,2,Assignment Completed,FALSE,2
SESSION00237,Undergraduate,Psychology,5/5/2025,28.1,10,Coding,3,Assignment Completed,TRUE,3.3
SESSION00238,Undergraduate,Business,30/6/2024,10.52,4,Writing,4,Assignment Completed,TRUE,3.5
SESSION00239,Graduate,Math,23/12/2024,39.41,8,Writing,3,Assignment Completed,TRUE,3
SESSION00240,Undergraduate,Psychology,16/9/2024,8.87,4,Homework Help,3,Confused,FALSE,4.1
SESSION00241,Undergraduate,Engineering,3/4/2025,28.1,13,Writing,5,Idea Drafted,TRUE,5
SESSION00242,Graduate,Biology,26/3/2025,5.57,2,Writing,5,Gave Up,FALSE,4.7
SESSION00243,Undergraduate,Business,12/8/2024,4.8,2,Homework Help,2,Assignment Completed,TRUE,2.4
SESSION00244,Undergraduate,Computer Science,28/8/2024,10.72,3,Writing,3,Confused,FALSE,3.6
SESSION00245,Undergraduate,Engineering,6/4/2025,20.1,5,Coding,4,Assignment Completed,TRUE,4.2
SESSION00246,Undergraduate,Biology,9/5/2025,9.18,4,Homework Help,2,Idea Drafted,TRUE,2.2
SESSION00247,Graduate,Biology,25/5/2025,17.91,7,Studying,5,Idea Drafted,TRUE,3.3
SESSION00248,Graduate,Business,16/3/2025,17.27,4,Coding,4,Assignment Completed,TRUE,4.6
SESSION00249,High School,History,7/1/2025,22.81,6,Homework Help,4,Assignment Completed,TRUE,3.1
SESSION00250,Undergraduate,Biology,24/9/2024,27.42,5,Homework Help,3,Assignment Completed,FALSE,4.2
SESSION00251,Undergraduate,History,29/11/2024,13.08,4,Homework Help,3,Assignment Completed,TRUE,4
SESSION00252,Undergraduate,History,26/6/2024,25.74,6,Studying,3,Confused,FALSE,3.5
SESSION00253,Graduate,Biology,15/3/2025,11.92,4,Studying,1,Assignment Completed,TRUE,1
SESSION00254,Graduate,Business,13/1/2025,23.44,6,Coding,5,Assignment Completed,TRUE,5
SESSION00255,Undergraduate,Math,29/5/2025,19.44,7,Brainstorming,4,Idea Drafted,TRUE,3.8
SESSION00256,Undergraduate,Business,8/10/2024,12.1,2,Studying,5,Idea Drafted,TRUE,4.7
SESSION00257,Undergraduate,Computer Science,2/2/2025,32.53,11,Studying,3,Idea Drafted,TRUE,2.1
SESSION00258,Graduate,Psychology,28/4/2025,11.69,4,Homework Help,3,Assignment Completed,TRUE,2.6
SESSION00259,High School,Psychology,3/4/2025,36.98,9,Writing,4,Confused,FALSE,4.6
SESSION00260,Undergraduate,Biology,21/4/2025,5.58,1,Writing,4,Assignment Completed,TRUE,4.7
SESSION00261,Graduate,History,16/5/2025,27.09,6,Studying,3,Idea Drafted,TRUE,2.5
SESSION00262,Graduate,Computer Science,4/9/2024,10.34,4,Coding,3,Gave Up,FALSE,2.5
SESSION00263,Undergraduate,Biology,1/1/2025,67.56,21,Writing,3,Assignment Completed,FALSE,3.8
SESSION00264,Undergraduate,Math,22/1/2025,17.13,6,Studying,4,Gave Up,FALSE,3.8
SESSION00265,Undergraduate,Engineering,24/9/2024,3.64,1,Writing,4,Confused,FALSE,3.7
